# CubeRTS map
# base <player> <x> <z> <angleDeg>   resource <x> <z> <angleDeg>   barrier <x> <z> <halfLen> <angleDeg>   mapsize <half>
mapsize 75 75
gamemap 1
terrainfbx models/Height_2.fbx
terrainfbxscale 1
renderfbx models/Render_3.fbx
terrainmat 0.0590717 0.0372073 0.0276665 1|Circle.012||0
base 3 65.2049 19.7562 0
base 4 62.943 -24.4389 0
base 5 44.0455 -65.4033 0
base 6 -1.76368 -71.3889 0
base 7 -45.4813 -59.8046 0
base 8 -65.8987 -23.2013 0
base 9 -66.3085 21.0755 0
landedge 19.1804 -96.4265 21.8716 -95.6102
landedge 21.8716 -95.6102 8.29878 -50.5143
landedge 8.29878 -50.5143 8.32817 -49.0175
landedge 8.32817 -49.0175 8.649 -47.5553
landedge 8.649 -47.5553 9.24895 -46.1837
landedge 9.24895 -46.1837 10.105 -44.9555
landedge 10.105 -44.9555 11.1841 -43.9179
landedge 11.1841 -43.9179 12.445 -43.1108
landedge 12.445 -43.1108 13.8391 -42.5651
landedge 13.8391 -42.5651 15.3128 -42.302
landedge 15.3128 -42.302 16.8096 -42.3313
landedge 16.8096 -42.3313 18.2719 -42.6522
landedge 18.2719 -42.6522 19.6435 -43.2521
landedge 19.6435 -43.2521 20.8716 -44.1081
landedge 20.8716 -44.1081 21.9092 -45.1873
landedge 21.9092 -45.1873 22.7164 -46.4482
landedge 22.7164 -46.4482 23.262 -47.8422
landedge 23.262 -47.8422 36.3199 -91.2273
landedge 36.3199 -91.2273 37.6238 -90.8318
landedge 37.6238 -90.8318 54.6212 -81.7464
landedge 54.6212 -81.7464 69.5196 -69.5196
landedge 69.5196 -69.5196 73.7394 -64.3778
landedge 73.7394 -64.3778 36.4055 -35.989
landedge 36.4055 -35.989 35.5494 -34.7608
landedge 35.5494 -34.7608 34.9495 -33.3893
landedge 34.9495 -33.3893 34.6287 -31.927
landedge 34.6287 -31.927 34.5993 -30.4302
landedge 34.5993 -30.4302 34.8624 -28.9565
landedge 34.8624 -28.9565 35.4081 -27.5624
landedge 35.4081 -27.5624 36.2152 -26.3015
landedge 36.2152 -26.3015 37.2528 -25.2224
landedge 37.2528 -25.2224 38.481 -24.3663
landedge 38.481 -24.3663 39.8526 -23.7664
landedge 39.8526 -23.7664 41.3149 -23.4456
landedge 41.3149 -23.4456 42.8116 -23.4162
landedge 42.8116 -23.4162 44.2854 -23.6794
landedge 44.2854 -23.6794 45.6795 -24.225
landedge 45.6795 -24.225 46.9403 -25.0321
landedge 46.9403 -25.0321 82.9332 -52.401
landedge 82.9332 -52.401 90.8318 -37.6238
landedge 90.8318 -37.6238 96.4265 -19.1804
landedge 96.4265 -19.1804 97.4549 -8.73892
landedge 97.4549 -8.73892 50.6064 -7.71719
landedge 50.6064 -7.71719 49.192 -7.2267
landedge 49.192 -7.2267 47.9005 -6.4697
landedge 47.9005 -6.4697 46.7814 -5.47528
landedge 46.7814 -5.47528 45.8778 -4.28163
landedge 45.8778 -4.28163 45.2245 -2.93465
landedge 45.2245 -2.93465 44.8465 -1.4861
landedge 44.8465 -1.4861 44.7584 0.00837708
landedge 44.7584 0.00837708 44.9635 1.49132
landedge 44.9635 1.49132 45.454 2.90575
landedge 45.454 2.90575 46.211 4.19733
landedge 46.211 4.19733 47.2054 5.31639
landedge 47.2054 5.31639 48.399 6.21994
landedge 48.399 6.21994 49.746 6.87328
landedge 49.746 6.87328 51.1946 7.25128
landedge 51.1946 7.25128 52.689 7.3394
landedge 52.689 7.3394 97.6894 6.35797
landedge 97.6894 6.35797 96.4265 19.1804
landedge 96.4265 19.1804 90.8318 37.6238
landedge 90.8318 37.6238 84.0695 50.2752
landedge 84.0695 50.2752 45.4775 23.5024
landedge 45.4775 23.5024 44.0449 23.0678
landedge 44.0449 23.0678 42.5551 22.9211
landedge 42.5551 22.9211 41.0652 23.0678
landedge 41.0652 23.0678 39.6326 23.5024
landedge 39.6326 23.5024 38.3123 24.2081
landedge 38.3123 24.2081 37.1551 25.1578
landedge 37.1551 25.1578 36.2053 26.3151
landedge 36.2053 26.3151 35.4996 27.6354
landedge 35.4996 27.6354 35.0651 29.068
landedge 35.0651 29.068 34.9183 30.5578
landedge 34.9183 30.5578 35.0651 32.0477
landedge 35.0651 32.0477 35.4996 33.4803
landedge 35.4996 33.4803 36.2053 34.8006
landedge 36.2053 34.8006 37.1551 35.9578
landedge 37.1551 35.9578 38.3123 36.9075
landedge 38.3123 36.9075 75.2523 62.5343
landedge 75.2523 62.5343 69.5196 69.5196
landedge 69.5196 69.5196 54.6212 81.7464
landedge 54.6212 81.7464 38.5495 90.337
landedge 38.5495 90.337 22.9777 45.7449
landedge 22.9777 45.7449 22.0742 44.5512
landedge 22.0742 44.5512 20.9551 43.5568
landedge 20.9551 43.5568 19.6635 42.7998
landedge 19.6635 42.7998 18.2491 42.3093
landedge 18.2491 42.3093 16.7661 42.1042
landedge 16.7661 42.1042 15.2717 42.1923
landedge 15.2717 42.1923 13.8231 42.5703
landedge 13.8231 42.5703 12.4761 43.2236
landedge 12.4761 43.2236 11.2825 44.1272
landedge 11.2825 44.1272 10.2881 45.2463
landedge 10.2881 45.2463 9.53107 46.5378
landedge 9.53107 46.5378 9.04059 47.9523
landedge 9.04059 47.9523 8.83546 49.4352
landedge 8.83546 49.4352 8.9236 50.9297
landedge 8.9236 50.9297 9.30161 52.3783
landedge 9.30161 52.3783 24.1563 94.9171
landedge 24.1563 94.9171 19.1804 96.4265
landedge 19.1804 96.4265 0 98.3156
landedge 0 98.3156 -19.1804 96.4265
landedge -19.1804 96.4265 -21.8716 95.6102
landedge -21.8716 95.6102 -8.29878 50.5143
landedge -8.29878 50.5143 -8.32817 49.0175
landedge -8.32817 49.0175 -8.649 47.5553
landedge -8.649 47.5553 -9.24895 46.1837
landedge -9.24895 46.1837 -10.1049 44.9555
landedge -10.1049 44.9555 -11.1841 43.9179
landedge -11.1841 43.9179 -12.445 43.1108
landedge -12.445 43.1108 -13.8391 42.5651
landedge -13.8391 42.5651 -15.3128 42.302
landedge -15.3128 42.302 -16.8096 42.3313
landedge -16.8096 42.3313 -18.2719 42.6522
landedge -18.2719 42.6522 -19.6435 43.2521
landedge -19.6435 43.2521 -20.8716 44.1081
landedge -20.8716 44.1081 -21.9092 45.1873
landedge -21.9092 45.1873 -22.7164 46.4482
landedge -22.7164 46.4482 -23.262 47.8422
landedge -23.262 47.8422 -36.3199 91.2273
landedge -36.3199 91.2273 -37.6238 90.8318
landedge -37.6238 90.8318 -54.6212 81.7464
landedge -54.6212 81.7464 -69.5196 69.5196
landedge -69.5196 69.5196 -73.7394 64.3778
landedge -73.7394 64.3778 -36.4054 35.989
landedge -36.4054 35.989 -35.5494 34.7609
landedge -35.5494 34.7609 -34.9495 33.3893
landedge -34.9495 33.3893 -34.6286 31.927
landedge -34.6286 31.927 -34.5993 30.4302
landedge -34.5993 30.4302 -34.8624 28.9565
landedge -34.8624 28.9565 -35.4081 27.5624
landedge -35.4081 27.5624 -36.2152 26.3015
landedge -36.2152 26.3015 -37.2528 25.2224
landedge -37.2528 25.2224 -38.481 24.3663
landedge -38.481 24.3663 -39.8526 23.7664
landedge -39.8526 23.7664 -41.3148 23.4456
landedge -41.3148 23.4456 -42.8116 23.4162
landedge -42.8116 23.4162 -44.2854 23.6794
landedge -44.2854 23.6794 -45.6795 24.225
landedge -45.6795 24.225 -46.9403 25.0321
landedge -46.9403 25.0321 -82.9332 52.4011
landedge -82.9332 52.4011 -90.8318 37.6238
landedge -90.8318 37.6238 -96.4265 19.1804
landedge -96.4265 19.1804 -97.4549 8.73891
landedge -97.4549 8.73891 -50.6064 7.71718
landedge -50.6064 7.71718 -49.192 7.22668
landedge -49.192 7.22668 -47.9004 6.4697
landedge -47.9004 6.4697 -46.7814 5.47527
landedge -46.7814 5.47527 -45.8778 4.28162
landedge -45.8778 4.28162 -45.2245 2.93465
landedge -45.2245 2.93465 -44.8465 1.48608
landedge -44.8465 1.48608 -44.7583 -0.00839233
landedge -44.7583 -0.00839233 -44.9635 -1.49133
landedge -44.9635 -1.49133 -45.4539 -2.90576
landedge -45.4539 -2.90576 -46.211 -4.19733
landedge -46.211 -4.19733 -47.2054 -5.31641
landedge -47.2054 -5.31641 -48.399 -6.21996
landedge -48.399 -6.21996 -49.746 -6.87329
landedge -49.746 -6.87329 -51.1946 -7.25128
landedge -51.1946 -7.25128 -52.689 -7.33942
landedge -52.689 -7.33942 -97.6894 -6.358
landedge -97.6894 -6.358 -96.4265 -19.1804
landedge -96.4265 -19.1804 -90.8318 -37.6238
landedge -90.8318 -37.6238 -84.0695 -50.2752
landedge -84.0695 -50.2752 -45.4775 -23.5024
landedge -45.4775 -23.5024 -44.0449 -23.0678
landedge -44.0449 -23.0678 -42.5551 -22.9211
landedge -42.5551 -22.9211 -41.0652 -23.0678
landedge -41.0652 -23.0678 -39.6326 -23.5024
landedge -39.6326 -23.5024 -38.3123 -24.2081
landedge -38.3123 -24.2081 -37.1551 -25.1578
landedge -37.1551 -25.1578 -36.2053 -26.3151
landedge -36.2053 -26.3151 -35.4996 -27.6354
landedge -35.4996 -27.6354 -35.065 -29.068
landedge -35.065 -29.068 -34.9183 -30.5578
landedge -34.9183 -30.5578 -35.065 -32.0477
landedge -35.065 -32.0477 -35.4996 -33.4803
landedge -35.4996 -33.4803 -36.2053 -34.8006
landedge -36.2053 -34.8006 -37.1551 -35.9578
landedge -37.1551 -35.9578 -38.3123 -36.9075
landedge -38.3123 -36.9075 -75.2523 -62.5343
landedge -75.2523 -62.5343 -69.5196 -69.5196
landedge -69.5196 -69.5196 -54.6212 -81.7464
landedge -54.6212 -81.7464 -38.5494 -90.337
landedge -38.5494 -90.337 -22.9777 -45.7449
landedge -22.9777 -45.7449 -22.0742 -44.5512
landedge -22.0742 -44.5512 -20.9551 -43.5568
landedge -20.9551 -43.5568 -19.6635 -42.7998
landedge -19.6635 -42.7998 -18.2491 -42.3093
landedge -18.2491 -42.3093 -16.7661 -42.1042
landedge -16.7661 -42.1042 -15.2717 -42.1923
landedge -15.2717 -42.1923 -13.8231 -42.5703
landedge -13.8231 -42.5703 -12.4761 -43.2236
landedge -12.4761 -43.2236 -11.2825 -44.1272
landedge -11.2825 -44.1272 -10.2881 -45.2463
landedge -10.2881 -45.2463 -9.53107 -46.5378
landedge -9.53107 -46.5378 -9.04059 -47.9523
landedge -9.04059 -47.9523 -8.83546 -49.4352
landedge -8.83546 -49.4352 -8.9236 -50.9297
landedge -8.9236 -50.9297 -9.30159 -52.3783
landedge -9.30159 -52.3783 -24.1563 -94.9171
landedge -24.1563 -94.9171 -19.1804 -96.4265
landedge -19.1804 -96.4265 0 -98.3156
landedge 0 -98.3156 19.1804 -96.4265
